Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Test,,PIG-1455,12467143,,"[zebra] ""test-unit""  is needed as an ant target to unit test Zebra",yanz,yanz,Minor,Closed,Fixed,17/Jun/10 02:05,17/Dec/10 22:44,
Improvement,,PIG-1451,12467018,,[zebra] change the build.test property in build to test.build.dir to be in consistent with PIG,yanz,yanz,Minor,Closed,Fixed,15/Jun/10 18:27,17/Dec/10 22:44,
Task,,PIG-1444,12466589,,[Zebra] Zebra build should have a test-smoke target,gauravj,gauravj,Minor,Closed,Fixed,09/Jun/10 17:30,17/Dec/10 22:44,11/Jun/10 00:00
New Feature,,PIG-1436,12466157,,Print number of records outputted at each step of a Pig script,rding,russell.jurney,Minor,Closed,Duplicate,04/Jun/10 04:39,17/Dec/10 22:44,
Improvement,,PIG-1422,12464993,,Duplicate code in LOPrinter.java,zjffdu,zjffdu,Minor,Closed,Fixed,20/May/10 04:46,17/Dec/10 22:44,
Sub-task,,PIG-1409,12464037,12459720,Fix up javadocs for org.apache.pig.builtin,gates,gates,Minor,Closed,Fixed,08/May/10 00:34,17/Dec/10 22:44,
Sub-task,,PIG-1398,12463389,12459720,Marking Pig interfaces for org.apache.pig.data package,gates,gates,Minor,Closed,Fixed,29/Apr/10 23:58,17/Dec/10 22:44,
Bug,,PIG-1388,12462789,,hadoop18 jar should be removed from Pig trunk,olgan,gates,Minor,Closed,Fixed,22/Apr/10 17:10,17/Dec/10 22:44,
Bug,,PIG-1373,12461913,,We need to add jdiff output to docs on the website,daijy,gates,Minor,Closed,Fixed,13/Apr/10 01:07,17/Dec/10 22:44,
New Feature,Patch Available,PIG-1229,12455602,,allow pig to write output into a JDBC db,ankur,iholsman,Minor,Closed,Fixed,08/Feb/10 08:01,17/Dec/10 22:43,
Improvement,,PIG-915,12432812,,Load row names in HBase loader,zjffdu,posix4e,Minor,Closed,Duplicate,11/Aug/09 18:15,17/Dec/10 22:43,
Bug,,PIG-740,12421609,,Incorrect line number is generated when a string  with double quotes is used instead of single quotes and is passed to UDF,pradeepkth,viraj,Minor,Closed,Fixed,31/Mar/09 01:38,17/Dec/10 22:43,
Bug,,PIG-566,12410823,,Dump and store outputs do not match for PigStorage,azaroth,sms,Minor,Closed,Fixed,16/Dec/08 19:17,17/Dec/10 22:43,
New Feature,Patch Available,PIG-533,12408584,,DBloader UDF (initial prototype),,iholsman,Minor,Closed,Fixed,15/Nov/08 22:46,17/Dec/10 22:43,
Bug,,PIG-523,12408269,,help in grunt should show all commands,olgan,olgan,Minor,Closed,Duplicate,11/Nov/08 17:55,17/Dec/10 22:43,
Bug,,PIG-347,12401263,,Pig (help) Commands,olgan,chandec,Minor,Closed,Fixed,29/Jul/08 19:30,17/Dec/10 22:43,
Improvement,,PIG-1718,12479755,,Cannot directly cast output of UDF,,dillonm-digisynd,Minor,Open,,11/Nov/10 22:40,16/Nov/10 00:50,
New Feature,,PIG-1667,12475872,,Make changes to links on website to reflect new pig.apache.org address,gates,gates,Minor,Resolved,Fixed,05/Oct/10 18:22,06/Oct/10 20:36,
Improvement,,PIG-1646,12475050,,"Error meassage for ""pig root directory does not exist""cab be more meaningful",,sherri_chen,Minor,Resolved,Invalid,24/Sep/10 15:43,24/Sep/10 18:51,
Improvement,,PIG-1590,12473075,,Use POMergeJoin for Left Outer Join when join using 'merge',,ashutoshc,Minor,Open,,01/Sep/10 20:33,03/Sep/10 18:07,
Improvement,,PIG-1494,12469082,,PIG Logical Optimization: Use CNF in PushUpFilter,swati.j,swati.j,Minor,Open,,12/Jul/10 17:09,31/Aug/10 18:52,
Improvement,,PIG-365,12401846,,Map side optimization for Limit (top k case),daijy,daijy,Minor,Resolved,Won't Fix,07/Aug/08 00:39,29/Aug/10 17:50,
Bug,,PIG-1532,12470577,,PIG Logical Optimization: Use CNF in FilterAboveForeach,,swati.j,Minor,Open,,01/Aug/10 00:26,18/Aug/10 08:49,
Bug,,PIG-1539,12471037,,TestAccumulator fails on trunk,,azaroth,Minor,Resolved,Fixed,07/Aug/10 13:46,08/Aug/10 13:31,
Improvement,,PIG-1519,12470219,,"Stop relying on finalize() to delete files, close filehandles in bag implementations",,thejas,Minor,Open,,26/Jul/10 23:45,27/Jul/10 00:10,
Bug,,PIG-1289,12458684,,PIG Join fails while doing a filter on joined data,daijy,karims,Minor,Closed,Fixed,10/Mar/10 16:36,20/Jul/10 17:36,
Improvement,,PIG-909,12432211,,Allow Pig executable to use hadoop jars not bundled with pig,dvryaboy,dvryaboy,Minor,Open,,04/Aug/09 22:13,12/Jul/10 19:30,
Bug,,PIG-898,12431765,,TextDataParser does not handle delimiters from one complex type in another,,sms,Minor,Resolved,Fixed,30/Jul/09 05:06,12/Jul/10 18:32,
Bug,,PIG-870,12429340,,Pig is broken loading .gz files,,olgan,Minor,Resolved,Fixed,02/Jul/09 01:15,10/Jul/10 01:15,
Bug,,PIG-748,12421917,,Adding documentation for IsEmpty() in the Pig Latin Reference Manual,,viraj,Minor,Resolved,Fixed,02/Apr/09 20:46,10/Jul/10 00:21,
Wish,,PIG-742,12421727,,Spaces could be optional in Pig syntax,,viraj,Minor,Resolved,Duplicate,01/Apr/09 00:19,10/Jul/10 00:18,
Bug,,PIG-680,12414787,,Unknown parameter causes pig to exit without message,,neunand,Minor,Resolved,Fixed,14/Feb/09 00:33,09/Jul/10 20:02,
Bug,,PIG-555,12409876,,ORDER by requires write access to /tmp,,iholsman,Minor,Resolved,Duplicate,04/Dec/08 04:26,09/Jul/10 19:30,
Improvement,,PIG-408,12403565,,Display hadoop task name and link on the client side,,yhan,Minor,Resolved,Fixed,02/Sep/08 21:54,09/Jul/10 19:00,
Bug,,PIG-405,12403292,,"describe does not display ""map"" types in the schema.",,araceli,Minor,Resolved,Fixed,28/Aug/08 22:10,09/Jul/10 18:51,
Improvement,,PIG-322,12400429,,Same job name used for a series of map-reduce jobs,,laukik,Minor,Resolved,Won't Fix,17/Jul/08 01:10,09/Jul/10 18:26,
Improvement,Patch Available,PIG-205,12394068,,Add a -n / -namenode parameter to pig command line,,kali,Minor,Resolved,Won't Fix,16/Apr/08 09:06,09/Jul/10 18:00,
Bug,,PIG-126,12389690,,custom storage ( LOAD with USING) doesn't work with inner classes,,pi_song,Minor,Resolved,Won't Fix,27/Feb/08 14:34,09/Jul/10 17:46,
Bug,Patch Available,PIG-1449,12466915,,RegExLoader hangs on lines that don't match the regular expression,,justinjas,Minor,Closed,Fixed,14/Jun/10 17:37,02/Jul/10 17:07,
Bug,,PIG-1475,12468190,,Large number of FILTER matching clauses causes internal error 2998,,subelsky,Minor,Open,,29/Jun/10 19:37,30/Jun/10 02:48,
Improvement,,PIG-1440,12466253,,Refactor org.apache.pig.data.DataType to use Enums instead of integer constants,,azaroth,Minor,Open,,05/Jun/10 14:08,06/Jun/10 19:24,
Bug,,PIG-1360,12461423,,Pig API docs should include Piggybank,gates,gates,Minor,Closed,Duplicate,07/Apr/10 16:31,14/May/10 06:55,
Improvement,,PIG-1361,12461428,,[Zebra] Zebra TableLoader.getSchema() should return the projectionSchema specified in the constructor of TableLoader instead of pruned proejction by pig ,gauravj,gauravj,Minor,Closed,Fixed,07/Apr/10 17:00,14/May/10 06:47,
Test,,PIG-1357,12461306,,[zebra] Test cases of map-side GROUP-BY should be added.,yanz,yanz,Minor,Closed,Fixed,06/Apr/10 21:47,14/May/10 06:47,
Bug,,PIG-1276,12458185,, [Zebra] Changes requried for Zebra due to PIG-1259 changes,,xuefuz,Minor,Closed,Fixed,04/Mar/10 22:28,14/May/10 06:47,
Test,,PIG-1268,12457795,,[Zebra] Need an ant target that runs all pig-related tests in Zebra,xuefuz,xuefuz,Minor,Closed,Fixed,01/Mar/10 22:47,14/May/10 06:47,
Bug,,PIG-1256,12457236,,[Zebra] Bag field should always contain a tuple type as the field schema in ResourceSchema object converted from Zebra Schema,xuefuz,xuefuz,Minor,Closed,Fixed,23/Feb/10 23:04,14/May/10 06:47,
Improvement,,PIG-1240,12456469,,[Zebra]  suggestion to have zebra manifest file contain version and svn-revision etc.,gauravj,gauravj,Minor,Closed,Fixed,16/Feb/10 19:26,14/May/10 06:46,
Bug,,PIG-1217,12455186,,[piggybank] evaluation.util.Top is broken,dvryaboy,dvryaboy,Minor,Closed,Fixed,03/Feb/10 16:40,14/May/10 06:46,
Bug,,PIG-1173,12444188,,pig cannot be built without an internet connection,jmhodges,jmhodges,Minor,Closed,Fixed,25/Dec/09 06:09,14/May/10 06:46,
Bug,,PIG-1149,12443300,,Allow instantiation of SampleLoaders with parametrized LoadFuncs,dvryaboy,dvryaboy,Minor,Closed,Fixed,14/Dec/09 20:51,14/May/10 06:46,
Bug,,PIG-1136,12442877,,[zebra] Map Split of Storage info do not allow for leading underscore char '_',,yanz,Minor,Closed,Fixed,09/Dec/09 18:05,14/May/10 06:46,
Bug,,PIG-1124,12442373,,Unable to set Custom Job Name using the -Dmapred.job.name parameter,ashutoshc,viraj,Minor,Closed,Fixed,03/Dec/09 19:53,14/May/10 06:46,
Bug,,PIG-1101,12441357,,Pig parser does not recognize its own data type in LIMIT statement,ashutoshc,viraj,Minor,Closed,Fixed,21/Nov/09 02:28,14/May/10 06:46,
Bug,,PIG-990,12437094,,Provide a way to pin LogicalOperator Options,dvryaboy,dvryaboy,Minor,Closed,Fixed,02/Oct/09 02:58,14/May/10 06:45,
Improvement,,PIG-952,12435345,,[Zebra] Make Zebra Version Same as Pig Version,gauravj,gauravj,Minor,Closed,Fixed,10/Sep/09 17:32,14/May/10 06:45,
Improvement,,PIG-948,12435044,,[Usability] Relating pig script with MR jobs,daijy,ashutoshc,Minor,Closed,Fixed,07/Sep/09 21:37,14/May/10 06:45,
Bug,,PIG-933,12434059,,broken link in pig-latin reference manual to hadoop file glob pattern documentation,olgan,thejas,Minor,Closed,Fixed,26/Aug/09 15:45,14/May/10 06:45,
Bug,,PIG-899,12431781,,"missing document ""review basics""",,solrize,Minor,Resolved,Fixed,30/Jul/09 08:51,01/May/10 00:51,
Task,,PIG-860,12428599,,Load split by 'file' - not documented in pig latin reference manual,,thejas,Minor,Resolved,Won't Fix,22/Jun/09 18:53,01/May/10 00:47,
Improvement,Patch Available,PIG-112,12388839,,Allow Java packages to be searched for functions.,,craigm,Minor,Closed,Fixed,16/Feb/08 09:54,30/Apr/10 15:40,
Task,Patch Available,PIG-1376,12461980,,Pig 060 Docs - ILLUSTRATE and Passing Configurations to UDFs,chandec,chandec,Minor,Resolved,Fixed,13/Apr/10 19:26,13/Apr/10 20:40,
Bug,,PIG-258,12397705,,Pig should cleanup output directory of a failed query,daijy,olgan,Minor,Closed,Fixed,06/Jun/08 18:15,01/Apr/10 04:06,
Task,,PIG-938,12434364,,Pig Docs for 0.4.0,chandec,chandec,Minor,Closed,Fixed,29/Aug/09 21:24,25/Mar/10 00:12,
Bug,,PIG-715,12416780,,Remove 2 doc files: hello.pdf and overview.html,chandec,chandec,Minor,Closed,Fixed,12/Mar/09 19:31,25/Mar/10 00:12,
Bug,,PIG-689,12415719,,Error Handling - improve message for hadoop18.3 quotas feature,,araceli,Minor,Closed,Fixed,27/Feb/09 00:37,25/Mar/10 00:12,
New Feature,,PIG-574,12411179,,run command for grunt,olgan,ciemo,Minor,Closed,Fixed,22/Dec/08 18:27,25/Mar/10 00:12,
Improvement,,PIG-297,12399841,,RM a non-existing file should not fail the script,yhan,yhan,Minor,Closed,Fixed,08/Jul/08 17:17,25/Mar/10 00:12,
Bug,,PIG-261,12397769,,explain exception,,haijun,Minor,Closed,Fixed,08/Jun/08 21:17,25/Mar/10 00:12,
Improvement,,PIG-212,12394263,,Grunt aborts frequently on script errors.,,amirhyoussefi,Minor,Closed,Fixed,18/Apr/08 00:16,25/Mar/10 00:12,
New Feature,,PIG-211,12394261,,Replicating small tables for joins,,johndetreville,Minor,Closed,Fixed,17/Apr/08 23:46,25/Mar/10 00:12,
Improvement,,PIG-168,12392305,,"update ""Running+Pig+Programs""-wiki page",,oae,Minor,Closed,Fixed,26/Mar/08 04:49,25/Mar/10 00:12,
Bug,,PIG-146,12390806,,More meaningful error message could be used when a non-existing column is accessed,,xuzh,Minor,Closed,Fixed,12/Mar/08 02:19,25/Mar/10 00:12,
Bug,,PIG-105,12388392,,"POPrinter does not implement functions for several local physical operators, resulting in incomplete printings of local plans.",gates,gates,Minor,Closed,Fixed,11/Feb/08 23:23,25/Mar/10 00:12,
Improvement,,PIG-98,12388147,,grunt should show full exception stack,joa23,joa23,Minor,Closed,Fixed,08/Feb/08 00:34,25/Mar/10 00:12,
Improvement,,PIG-48,12384193,,LoadFunc API is too limiting,,spullara,Minor,Closed,Fixed,07/Dec/07 17:35,25/Mar/10 00:12,
Bug,,PIG-1227,12455516,,[zebra] Missing column group meta file should not be allowed at query time,yanz,yanz,Minor,Closed,Fixed,06/Feb/10 01:35,24/Mar/10 22:16,
Bug,,PIG-1201,12446376,,"[zebra] HDFS meta queries are issued by all mappers; Pig Loader serialize all JobConf contents including those unused by zebra",yanz,yanz,Minor,Closed,Fixed,22/Jan/10 21:54,24/Mar/10 22:16,
Bug,,PIG-1197,12445978,,TextLoader should be updated to match changes to PigStorage,gates,gates,Minor,Closed,Fixed,19/Jan/10 23:05,24/Mar/10 22:16,
Improvement,,PIG-1098,12441018,,[zebra] Zebra Performance Optimizations,yanz,yanz,Minor,Closed,Fixed,18/Nov/09 06:08,24/Mar/10 22:15,
Bug,,PIG-1095,12440902,,[zebra] Schema support of anonymous fields in COLECTION fails,yanz,yanz,Minor,Closed,Fixed,17/Nov/09 05:12,24/Mar/10 22:15,
Bug,,PIG-1091,12440637,,[zebra] Exception when load with projection of map keys on a map column that is not map split ,yanz,yanz,Minor,Closed,Fixed,13/Nov/09 17:49,24/Mar/10 22:15,
Bug,,PIG-1027,12438461,,Number of bytes written are always zero in local mode,zjffdu,ashutoshc,Minor,Closed,Fixed,19/Oct/09 16:07,24/Mar/10 22:15,
New Feature,,PIG-1025,12438330,,Should be able to set job priority through Pig Latin,kevinweil,kevinweil,Minor,Closed,Fixed,16/Oct/09 18:52,24/Mar/10 22:15,
Bug,,PIG-891,12430834,,Fixing dfs statement for Pig,zjffdu,daijy,Minor,Closed,Fixed,18/Jul/09 00:19,24/Mar/10 22:15,
Bug,,PIG-790,12424120,,Error message should indicate in which line number in the Pig script the error occured (debugging BinCond),daijy,viraj,Minor,Closed,Fixed,29/Apr/09 02:39,24/Mar/10 22:15,
New Feature,,PIG-1020,12437934,,Include an ant target to build pig.jar without hadoop libraries,daijy,daijy,Minor,Closed,Fixed,13/Oct/09 05:19,24/Mar/10 22:14,
Improvement,,PIG-926,12433202,,Merge-Join phase 2,ashutoshc,ashutoshc,Minor,Closed,Fixed,17/Aug/09 02:23,24/Mar/10 22:13,
Improvement,,PIG-907,12432183,,Provide multiple version of HashFNV (Piggybank),daijy,daijy,Minor,Closed,Fixed,04/Aug/09 18:05,24/Mar/10 22:13,
New Feature,,PIG-885,12430296,,"New UDFs for piggybank (Bin, Decode, LookupInFiles, RegexExtract, RegexMatch, HashFVN, DiffDate)",daijy,daijy,Minor,Closed,Fixed,13/Jul/09 22:21,24/Mar/10 22:13,
Bug,,PIG-831,12426966,,Records and bytes written reported by pig are wrong in a multi-store program,gates,gates,Minor,Closed,Fixed,02/Jun/09 20:20,24/Mar/10 22:13,
Bug,,PIG-773,12423391,,"Empty complex constants (empty bag, empty tuple and empty map) should be supported",ashutoshc,pkamath,Minor,Closed,Fixed,21/Apr/09 17:40,24/Mar/10 22:13,
Bug,,PIG-734,12419419,,Non-string keys in maps,gates,gates,Minor,Closed,Fixed,25/Mar/09 20:02,24/Mar/10 22:13,
Bug,,PIG-728,12417333,,All backend error messages must be logged to preserve the original error messages,sms,sms,Minor,Closed,Fixed,20/Mar/09 00:12,24/Mar/10 22:13,
New Feature,,PIG-830,12426952,,Port Apache Log parsing piggybank contrib to Pig 0.2,dvryaboy,dvryaboy,Minor,Closed,Fixed,02/Jun/09 18:18,24/Mar/10 22:11,
Bug,,PIG-775,12423620,,PORelationToExprProject should create a NonSpillableDataBag to create empty bags,pkamath,pkamath,Minor,Closed,Fixed,23/Apr/09 19:29,24/Mar/10 22:10,
New Feature,,PIG-732,12419378,,Utility UDFs ,ankur,ankur,Minor,Closed,Fixed,25/Mar/09 09:48,24/Mar/10 22:10,
New Feature,,PIG-713,12416664,,Autocompletion doesn't complete aliases,ericg,ericg,Minor,Closed,Fixed,11/Mar/09 17:58,24/Mar/10 22:10,
Improvement,,PIG-712,12416598,,Need utilities to create schemas for bags and tuples,zjffdu,sms,Minor,Closed,Fixed,11/Mar/09 01:28,24/Mar/10 22:10,
Improvement,,PIG-614,12412171,,reduce io during sharing scans of the same input datasets ,,hustlmsp,Minor,Closed,Duplicate,12/Jan/09 07:30,24/Mar/10 22:04,
New Feature,Patch Available,PIG-572,12411039,,"A PigServer.registerScript() method, which lets a client programmatically register a Pig Script.",shubhamc,shubhamc,Minor,Closed,Fixed,19/Dec/08 10:27,24/Mar/10 22:04,
New Feature,Patch Available,PIG-543,12409189,,A local mode for pig instead of the current local map-reduce using the minicluster.,shubhamc,shubhamc,Minor,Closed,Fixed,25/Nov/08 13:29,24/Mar/10 22:04,
Bug,Patch Available,PIG-532,12408548,,Casting a field removes its alias.,thejas,gates,Minor,Closed,Fixed,15/Nov/08 00:32,24/Mar/10 22:04,
Bug,Patch Available,PIG-469,12405504,,"describe call int type as ""integer""",sms,olgan,Minor,Closed,Fixed,30/Sep/08 23:54,24/Mar/10 22:04,
Bug,Patch Available,PIG-437,12404664,,"parser gets confused if ""as"" is used inside of expression",sms,olgan,Minor,Closed,Fixed,18/Sep/08 17:14,24/Mar/10 22:04,
Bug,,PIG-414,12403716,,explicit split causes name to be dropped from describe,pkamath,olgan,Minor,Closed,Fixed,04/Sep/08 21:29,24/Mar/10 22:04,
New Feature,,PIG-385,12402751,,Should support 'null' as a constant,pkamath,gates,Minor,Closed,Fixed,21/Aug/08 00:01,24/Mar/10 22:04,
Bug,,PIG-383,12402653,,DESCRIBE does not display the table name,gates,yhan,Minor,Closed,Fixed,19/Aug/08 18:42,24/Mar/10 22:04,
Bug,,PIG-376,12402259,,SET job.name does not work,olgan,yhan,Minor,Closed,Fixed,13/Aug/08 00:16,24/Mar/10 22:04,
Bug,,PIG-327,12400747,,testShellFuncSingle/Multiple fail in TestBuiltin,shravanmn,gates,Minor,Closed,Won't Fix,22/Jul/08 15:17,24/Mar/10 22:04,
Bug,Patch Available,PIG-323,12400508,,Remove DEFINE from QueryParser,sms,sms,Minor,Closed,Fixed,17/Jul/08 19:22,24/Mar/10 22:04,
Bug,Patch Available,PIG-295,12399753,,The testSortDistinct function in TestEvalPipeline is buggy,shravanmn,shravanmn,Minor,Closed,Fixed,07/Jul/08 18:23,24/Mar/10 22:04,
Wish,,PIG-284,12399425,,target for building source jar,oae,oae,Minor,Closed,Fixed,02/Jul/08 07:59,24/Mar/10 22:01,
New Feature,Patch Available,PIG-277,12398812,,UDF for computing correlation and covariance between data sets,ajaygarg,ajaygarg,Minor,Closed,Fixed,23/Jun/08 06:48,24/Mar/10 22:01,
Improvement,,PIG-256,12397557,,support non default constructor with variable number of arguments,pi_song,ajaygarg,Minor,Closed,Fixed,05/Jun/08 07:02,24/Mar/10 22:01,
Improvement,,PIG-255,12397555,,Calling non default constructor of Final class from Main class in UDF,ajaygarg,ajaygarg,Minor,Closed,Fixed,05/Jun/08 06:59,24/Mar/10 22:01,
New Feature,Patch Available,PIG-245,12396630,,Need wrapper UDFs for all java.lang.Math functions,shravanmn,shravanmn,Minor,Closed,Fixed,22/May/08 13:54,24/Mar/10 22:01,
Bug,Patch Available,PIG-234,12395560,,fix synchronization around staleCount in DataCollector,whipkey,whipkey,Minor,Closed,Fixed,07/May/08 21:01,24/Mar/10 22:01,
Bug,Patch Available,PIG-215,12394371,,Miscellaneous cleanups after PIG-111 Configuration,pi_song,pi_song,Minor,Closed,Fixed,19/Apr/08 13:37,24/Mar/10 22:01,
Bug,Patch Available,PIG-213,12394333,,Non-static Log objects in org.apache.pig.data.* classes are inefficient,vgeshel,vgeshel,Minor,Closed,Fixed,18/Apr/08 18:06,24/Mar/10 22:01,
Bug,,PIG-207,12394220,,New illustrate command does not work in mapreduce mode.,shubhamc,gates,Minor,Closed,Fixed,17/Apr/08 17:21,24/Mar/10 22:01,
Bug,,PIG-174,12392613,,Pig hangs at progress 0% in this case,acmurthy,xuzh,Minor,Closed,Fixed,28/Mar/08 23:53,24/Mar/10 22:01,
Bug,Patch Available,PIG-150,12391034,,Fix the errors from building the doc target,xuzh,xuzh,Minor,Closed,Fixed,13/Mar/08 23:02,24/Mar/10 22:01,
Bug,Patch Available,PIG-149,12391000,,Fix the depency for the doc target,xuzh,xuzh,Minor,Closed,Fixed,13/Mar/08 19:28,24/Mar/10 22:01,
Improvement,Patch Available,PIG-127,12389694,,Add descriptions to ant target,francisoud,francisoud,Minor,Closed,Fixed,27/Feb/08 15:34,24/Mar/10 22:01,
Improvement,Patch Available,PIG-113,12388996,,Make Grunt's explain output more understandable,pi_song,pi_song,Minor,Closed,Fixed,19/Feb/08 12:33,24/Mar/10 22:01,
Bug,Patch Available,PIG-100,12388207,,Tests: NullPointerException parser.QueryParser.Alias(QueryParser.java:471),francisoud,francisoud,Minor,Closed,Fixed,08/Feb/08 16:33,24/Mar/10 22:01,
Bug,Patch Available,PIG-88,12387704,,the project does not compile because of reference to HadoopExe class in Main.java,pi_song,pi_song,Minor,Closed,Fixed,02/Feb/08 08:21,24/Mar/10 22:01,
Bug,Patch Available,PIG-80,12387469,,Stacktrace information is lost at MapReduceLauncher.java:289,francisoud,francisoud,Minor,Closed,Fixed,30/Jan/08 14:11,24/Mar/10 22:01,
Improvement,Patch Available,PIG-77,12387159,,Add eclipse file to ignore list,francisoud,francisoud,Minor,Closed,Fixed,25/Jan/08 14:57,24/Mar/10 22:01,
New Feature,,PIG-71,12386982,,Support for Hadoop Speculative Execution,,amirhyoussefi,Minor,Closed,Fixed,23/Jan/08 22:39,24/Mar/10 22:01,
Improvement,Patch Available,PIG-68,12386851,,Improving build.xml in many ways :),joa23,francisoud,Minor,Closed,Fixed,22/Jan/08 13:46,24/Mar/10 22:01,
Bug,Patch Available,PIG-65,12386553,,convert tabs to spaces,groves,groves,Minor,Closed,Fixed,17/Jan/08 23:23,24/Mar/10 22:01,
Improvement,Patch Available,PIG-56,12385818,,implement Iterable<Tuple> in DataBag,groves,groves,Minor,Closed,Fixed,09/Jan/08 03:13,24/Mar/10 22:01,
Improvement,Patch Available,PIG-46,12384133,,pig script parser prints to stdout if it encounters an unparsable line,olston,olston,Minor,Closed,Fixed,07/Dec/07 04:20,24/Mar/10 22:01,
Bug,,PIG-45,12384117,,pig.pl assumes that the name of the hodrc file for a given cluster matches the name of the cluster.,gates,gates,Minor,Closed,Fixed,06/Dec/07 22:00,24/Mar/10 22:01,
Bug,,PIG-43,12383900,,Combiner queries are not repeatable using the same alias,gates,gates,Minor,Closed,Fixed,04/Dec/07 18:24,24/Mar/10 22:01,
Bug,,PIG-33,12383357,,help in grunt shows single line of help,olgan,phunt,Minor,Closed,Fixed,27/Nov/07 23:05,24/Mar/10 22:01,
Bug,,PIG-25,12382126,,com.yahoo.pig dir left under pig/test,olgan,olgan,Minor,Closed,Fixed,08/Nov/07 20:32,24/Mar/10 22:01,
Bug,Patch Available,PIG-24,12382034,,ant clean does not cleanup test/reports,milindb,milindb,Minor,Closed,Fixed,07/Nov/07 19:20,24/Mar/10 22:01,
Improvement,Patch Available,PIG-13,12381676,,need a way to find out what version of pig i'm using,joa23,olgan,Minor,Closed,Fixed,02/Nov/07 03:04,24/Mar/10 22:01,
Improvement,,PIG-11,12381674,,Pig command - add search path for UDF .jar files,antmagna,olgan,Minor,Closed,Fixed,02/Nov/07 02:44,24/Mar/10 22:01,
Improvement,,PIG-1242,12456708,,register directive should accept files and directories as well as jar files,,woody.anderson@gmail.com,Minor,Open,,18/Feb/10 20:51,18/Feb/10 20:51,
Bug,,PIG-612,12411982,,custom pig slicer not supported in local mode,,olston,Minor,Resolved,Won't Fix,08/Jan/09 23:05,11/Feb/10 23:14,
Improvement,,PIG-906,12432181,,Need a way to test integration points with Hadoop from unit tests,,pkamath,Minor,Open,,04/Aug/09 17:36,11/Feb/10 22:33,
Bug,,PIG-386,12402807,,Pig does not do type checking on a per statement basis,,shravanmn,Minor,Resolved,Won't Fix,21/Aug/08 18:16,15/Jan/10 06:23,
Bug,,PIG-417,12403759,,Local Mode is broken,,shravanmn,Minor,Resolved,Won't Fix,05/Sep/08 15:21,15/Jan/10 06:22,
Bug,,PIG-384,12402675,,regression: execution plan does not show up in the job's output,,olgan,Minor,Resolved,Not A Problem,19/Aug/08 22:22,15/Jan/10 06:21,
